1,-487.99390223859893
2,-406.31064457517425
3,-774.5074913226226
4,-669.915992710568
5,-1248.6365730553473
6,-365.95166131775557
7,-1343.3825990120413
8,-446.4154526385587
9,-798.6420798968239
10,-496.91814932481293
11,-530.7534604250254
12,-585.6489399187859
13,-630.0406784724839
14,-459.43684722181456
15,-531.2808008827923
16,-1696.522496317862
17,-3977.569195644627
18,-824.0200002840618
19,-523.3374898029783
20,-1738.4492491185226
21,-620.3265460424865
22,-493.3356113680557
23,-424.81664711182043
24,-452.6271120376133
25,-1397.4240649249175
26,-597.8779762895863
27,-562.5921744741316
28,-452.78020740089335
29,-592.7264372577033
30,-821.0856764215787
31,-450.6373989161235
32,-500.70824112914676
33,-422.030618081164
34,-526.1911802288057
35,-565.0323751760134
36,-729.0008580545106
37,-507.0447736464454
38,-536.6289780646691
39,-6454.797534809805
40,-663.3937074973735
41,-604.2219634026198
42,-591.5466408248487
43,-706.6120873481858
44,-561.9853124005608
45,-778.2214924073213
46,-541.7738141732976
47,-444.00136497466883
48,-493.9254582693649
49,-640.6669615352796
50,-515.3651990622704
51,-428.7471271144766
52,-552.7253677117731
53,-620.3846152397264
54,-687.2978523487951
55,-508.4693158935096
56,-814.9928921195053
57,-493.4403342394657
58,-414.7026051070246
59,-434.1408565364178
60,-696.4595015254902
61,-487.2524545703466
62,-508.1130062543988
63,-1191.6786530032443
64,-727.892412796167
65,-441.7321175835999
66,-513.9032012636033
67,-643.1679002999568
68,-1100.2499781595304
69,-644.116211157301
70,-1112.437247293021
71,-622.7654770406361
72,-446.34607176593204
73,-481.33790376304063
74,-1026.9857192582663
75,-539.2702384927165
76,-513.5191433050145
77,-615.6949929736094
78,-534.4882227337969
79,-481.80911572432797
80,-402.10594961338666
81,-510.96540292956996
82,-480.93912432493
83,-2923.1993828769887
84,-654.6040192583624
85,-2595.1241129364466
86,-680.2631021500003
87,-614.3691368955742
88,-464.553927730857
89,-537.2551451961377
90,-453.7931702182352
91,-470.12161267073327
92,-483.5857583425905
93,-593.0161241440366
94,-720.7066742518003
95,-1123.2325722964679
96,-419.12651149431167
97,-556.047418223497
98,-659.6914665457919
99,-836.1147771670423
100,-484.7043125457852
